Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
872,26-Jul,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ","EDP DISTRIBUIÇÃO - ENERGIA, SA",35130,,Empresa,10-Aug,23-Aug,"Greve trab. Adstritos aos regimes de turnos, folgas rotativas e disponibilidade e horário normal que asseguram a reparação de avarias",2013,7
881-2,02-Aug,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SINDEFER - Sindicato Nacional Democrático da Ferrovia  / SINAFE - Sindicato Nacional dos Ferroviários do Movimento e Afins ,"REFER - REDE FERROVIÁRIA NACIONAL, EPE / REFER TELECOM, SERVIÇOS DE TELECOMUNICAÇÕES, SA / REFER PATRIMÓNIO - ADMINISTRAÇÃO E GESTÃO IMOBILIÁRIA, S.A.",52211 / 61100 / 68200,,3 Empresas,15-Aug,,SUSPENSÃO da Greve em 8-8,2013,7
881-2,02-Aug,"SINFA - SINDICATO INDEPENDENTE DOS TRABALHADORES FERROVIÁRIOS, DAS INFRAESTRUTURAS E AFINS","REFER - REDE FERROVIÁRIA NACIONAL, EPE / REFER TELECOM, SERVIÇOS DE TELECOMUNICAÇÕES, SA / REFER PATRIMÓNIO - ADMINISTRAÇÃO E GESTÃO IMOBILIÁRIA, S.A.",52211 / 61100 / 68200,,3 Empresas,15-Aug,,,2013,7
903,12-Aug,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Trabalhadores Portuários que operam nos Portos de Lisboa, Setúbal e Figueira da Foz",52240,,Sector,19-Aug,18/set,,2013,8
882,02-Aug,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",CONCIERGE SERVICES S.A - SUCURSAL PORTUGUESA (no Hospital da Força Armadas em Lisboa),81292,,Empresa,20-Aug,,,2013,8
Nº 918,19-Aug,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Bosch C. M. Portugal, Ldª",,,,01-Sep,31-Dec,,2013,8
901,09-Aug,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,S.O.S. MOBILE - ASSISTÊNCIA E REPARAÇÃO DE TELEMÓVEIS LDA,95120,,Empresa,14-Aug,30-Sep,,2013,8
Nº 894,07-Aug,Sindicato da Hotelaria do Norte,"Nobrecer, Lda.",,,Empresa,23-Aug,,,2013,8
933,29-Aug,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,RECLAMOS LUMINOSOS NEOLUX LDA,27400,,Empresa,27-Aug,28-Aug,,2013,8
908 e Nº 923,13-Aug,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"SISTAVAC, S.A.",43222,,Empresa,16-Sep,,,2013,8
915 e 916,16-Aug,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,"SPDH - SERVIÇOS PORTUGUESES DE HANDLING, SA  
  
",52230,,Empresa,30-Aug,31-Oct,Greve do dia 30-8 a 1-9 e ao TS e feriados do dia 2-9 a 31-10,2013,8
Nº 925,20-Aug,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,05-Sep-13,26-Sep-13,"Greve dias 5, 12, 19 e 26/9 entre as 22 e as 24H",2013,8
Nº 931,22-Aug,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Lourilimpeza no SMTUC - Autocarros dos Serviços Municipalizados de Coimbra,,,,09-Sep,,,2013,8
Nº 937/913,22-Aug,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",49410,,Empresa,05-Sep-13,09-Sep-13,Greve das 19 às 24H,2013,8
Nº 930,22-Aug,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Ldª.",49410,,Empresa,05-Sep-13,09-Sep-13,Greve das 19 às 24H,2013,8
926,23-Aug,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","MULTIFLOW, PRODUTOS DE HIGIENE E LIMPEZA, S.A. ",20420,,Empresa,01-Sep,TI,Greve nas 2 últimas horas ,2013,8
934,29-Aug,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,10-Sep,10-Oct,,2013,8
Nº 934,26-Aug,"STITEAA Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB / Camac, SA",,,,02-Sep,TI,Cancelar a partir de 13-9,2013,8
928,28-Aug,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,S.O.S. MOBILE - ASSISTÊNCIA E REPARAÇÃO DE TELEMÓVEIS LDA,95120,,Empresa,09-Sep,30-Sep,,2013,8
892,06-Aug,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ","EDP DISTRIBUIÇÃO - ENERGIA, SA",35130,,Empresa,10-Aug,23-Aug,,2013,8
907,13-Aug,,,,,,16-Sep,,,2013,8
920,19-Aug,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ","EDP DISTRIBUIÇÃO - ENERGIA, SA",35130,,Empresa,03-Sep,30-Sep,,2013,8
921,19-Aug,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,S.O.S. MOBILE - ASSISTÊNCIA E REPARAÇÃO DE TELEMÓVEIS LDA,95120,,Empresa,26-Aug,,,2013,8
,,,,,,,,,,2013,8
963 e 1021,05-Sep,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CDP 2200 Abrantes e EC's de Abrantes)",53100,,Empresa,16-Jun,,Suspensão da Greve - Greve das 9 às 11 horas                      ,2013,9
964,05-Sep,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Trabalhadores Portuários que operam nos Portos de Lisboa, Setúbal e Figueira da Foz",52240,,Sector,18-Sep,20-Sep,,2013,9
Nº 1028 e 965,05-Sep,SINPICVAT - Sindicato Nacional dos Porfissionais da Indústria e Comércio de Vestuário e de Artigos Têxteis,"Condeveste - Ind. Conf., Lda.",,,Empresa,11-Sep,TI,,2013,9
990,09-Sep,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Trabalhadores Portuários que operam nos Portos de Lisboa, Setúbal e Figueira da Foz",52240,,Sector,20-Sep,21/out,,2013,9
992,09-Sep,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",CONCIERGE SERVICES S.A - SUCURSAL PORTUGUESA (no Hospital da Força Armadas em Lisboa),81292,,Empresa,26-Sep,,,2013,9
nº 972,09-Sep,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",49310,,Empresa,23-Sep-13,,,2013,9
Nº 973 e 978,09-Sep,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE",Solar Residêncial São Gabriel,,,Empresa,18-Sep-13,20-Sep-13,Suspensão da greve dia 20/9,2013,9
996,12-Sep,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","POSTEJO - Pré-Fabricados de Cimento, SA",23610,,Empresa,18-Sep,30-Sep,Greve das 8 às 9 horas,2013,9
Nº 993,16-Sep,"SCMACFCMTM - SINDICATO DO CALÇADO, MALAS E AFINS, COMPONENTES, FORMAS E CURTUMES DO MINHO E TRÁS-OS MONTES","Fábrica de Calçado Campeão Português, SA",,,Empresa,19-Sep,20-Sep,,2013,9
1 002,17-Sep,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ","EDP DISTRIBUIÇÃO - ENERGIA, SA (Reparação de avarias)",35130,,Empresa,01-Oct,31-Oct,"Greve nos regimes de turno, folgas rotativas e disponibilidade e horário normal e disponibilidade",2013,9
Nº 998-3,17-Sep,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"União dos Transportes dos Carvalhos, Lda. ",,,Empresa,09-Oct,,,2013,9
Nº 998-3,17-Sep,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Auto Viação Grijó, Lda.",,,Empresa,09-Oct,,,2013,9
Nº 998-3,17-Sep,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Auto Viação de Espinho, Lda.",,,Empresa,09-Oct,,,2013,9
Nº 995,16-Sep,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,03-Oct-13,31-Oct-13,"Greve dias 3, 10, 17, 24 e 31/10 entre as 22 e as 24H",2013,9
Nº 997,16-Sep,"SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE","Solnave, SA",,,Empresa,01-Oct,,,2013,9
1 011,23-Sep,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","ITAU - INSTITUTO TÉCNICO DE ALIMENTAÇÃO HUMANA, SA / SOLNAVE - RESTAURANTES E ALIMENTAÇÃO, SA / EUREST (PORTUGAL)-SOCIEDADE EUROPEIA DE RESTAURANTES LDA / UNISELF SOC RESTAURANTES PUBLICOS E PRIVADOS SA / NOBRECER, FOOD SERVICE, LDA",56290,,5 Empresas,05-Oct,,,2013,9
,,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,Todos os trabalhadores no âmbito estutário do Sindicato,,,FP,05-Oct,,,2013,9
1 010,23-Sep,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","Modelo Continente Hipermercados, SA / Unicer Bebidas, SA / Renoldy - Produção e Comercialização de Leite e Produtos Lácteos, Lda.",,,3 Empresas,05-Oct,,,2013,9
1 012,23-Sep,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","Meeting Point - Restaurante Bar, Lda.",,,Empresa,05-Oct,,,2013,9
Nº 1007,20-Sep,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Bosch C. M. Portugal, Ldª",,,Empresa,01-Oct,30-Nov,,2013,9
1 016,24-Sep,STAL - Sindicato Nacional dos Trabalhadores da Administração Local e Regional,"ÁGUAS DO OESTE, SA",36001,,Empresa,05-Oct,,O APG não entrou,2013,9
1 017,24-Sep,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","POSTEJO-PRE-FABRICADOS DE CIMENTO, SA",23610,,Empresa,01-Oct,31-Oct,Greve das 8 às 9 horas,2013,9
Nº 1013 e 1075,23-Sep,"STITEAA Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB/Camac, SA",,,Empresa,01-Oct,TI,Cancelada no dia 8/10,2013,9
1 020,24-Sep,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,S.O.S. MOBILE - ASSISTÊNCIA E REPARAÇÃO DE TELEMÓVEIS LDA,95120,,Empresa,01-Oct,04-Oct,,2013,9
1 026,26-Sep,SINCTA - Sindicato dos Controladores de Tráfego Aéreo,NAVEGAÇÃO AÉREA DE PORTUGAL - NAV PORTUGAL E.P.E.,52230,,Empresa,10-Oct,,CANCEPara trab. Turnos: em PT e RAM greve das 7 às 9 e das 15 às 17 horas; em RAA greve das 6 às 8 e das 14 às 16 horas,2013,9
1 022,25-Sep,SENSIQ - Sindicato de Quadros Técnicos,"Metropolitano de Lisboa, EPE",49310,,Empresa,08-Oct,,,2013,9
1 024,25-Sep,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano de Lisboa / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes / FETESE -  Federação dos Sindicatos da Indústria e Serviços,"Metropolitano de Lisboa, EPE",49310,,Empresa,08-Oct,,,2013,9
Nº 966 e 1028,26-Sep,"STCMMPCA A NORTE DO RIO DOURO - Sindicato dos Trabalhadores da Construção, Madeiras, Mármores, Pedreiras, Cerâmica e Afins, da Região a Norte do Rio Douro","Construção Civil Gouveia, Lda.",,,Empresa,07-Oct,TI,Greve entre as 10 e as 11 e entre as 15 e as 16 horas,2013,9
1 047,02-Oct,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,11-Oct,11-Nov,,2013,9
Nº 1024,25-Sep,"USVC-CGTPIN - União dos Sindicatos de Viana do Castelo / STIMMDVC - SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICA E METALOMECÂNICA DO DISTRITO DE VIANA DO CASTELO / CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal / SITE-NORTE - SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS TRANSFORMADORAS, ENERGIA E ACTIVIDADES DO AMBIENTE DO NORTE","Empresa Estaleiros Navais de Viana do Castelo, SA",,,Empresa,04-Oct,,Greve das 10 às 12H,2013,9
1013 e 1055 e 1060,03-Oct,"OFICIAISMAR - SINDICATO DOS CAPITÃES, OFICIAIS PILOTOS, COMISSÁRIOS E ENGENHEIROS DA MARINHA MERCANTE","Pilotos de Barra e Portos dos Portos da R.A. Dos Açores, R.A. Da Madeira e do Algarve",,,,02-Oct,08-Oct,Cancelamento da Greve   /     Greve dias 2 a 4/10 no Porto dos Açores e de 7 a 8/10 na Madeira e Algarve                   ,2013,9
1 056,03-Oct,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA (CPL - S)",53100,,,09-Oct,,Greve parcial das 14:00 às 20:00,2013,9
Nº 1027,26-Sep,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Preh Portugal, Lda.",,,Empresa,05-Oct,,Greve entre as 6 e as 8:30,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Loulé,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Lagos - Marina,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Tavira,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Lagos - Av. Da República,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Lagoa - Faro,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Loulé - Andrade de Sousa,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Quarteira,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Albufeira - Bela Vista,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce ALbufeira - Quinta da Correeira,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Vila Real de Santo António,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Portimão - Recomar,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Portimão - Craveiros,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Olhão - Patinha,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Olhão - Faro,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Portimão - Sá Carneiro,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce São Brás de Alportel,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Faro - Tridente,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Faro - Sítio das Figuras,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Faro - Penha,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Almancil - Faro,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Alvor - Faro,47111,,Empresa,05-Oct,,,2013,9
1046(22),01-Oct,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,Loja Pingo Doce Armação de Pêra - Torre,47111,,Empresa,05-Oct,,,2013,9
Nº 1032,27-Sep,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"António da Silva Cruz & Filhos, Lda.",,,Empresa,14-Oct,30-Nov,Greve de 00:30 no início e no fim,2013,9
1 048,02-Oct,SEP - Sindicato dos Enfermeiros Portugueses,Enfermeiros com CIT ,86100,,FP,15-Oct,22-Oct,Greve dias 15 a 18 e dia 22 Outubro,2013,9
1 054,03-Oct,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / SINDEM - Sindicato da Manutenção do Metropolitano,"Metropolitano de Lisboa, EPE",49310,,Empresa,15-Oct,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8 e as 12H para trab. Administrativos, apoio e técnicos superiores",2013,10
1062 e 1067,07-Oct,SENSIQ - Sindicato de Quadros Técnicos,"Metropolitano de Lisboa, EPE",49310,,Empresa,15-Oct,,,2013,10
1070 e Nº 1058,07-Oct,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Todos os trabalhadores,n,,FP,19-Oct,,MANIFESTAÇÂO,2013,10
1 057,03-Oct,"STICCS SRA - Sindicato dos Trabalhadores das Indústrias de Cêramica, Cimentos e Similares do Sul e Regiões Autónomas",SOPLACAS - SOCIEDADE DE PLACAS DE BETÃO SA,23610,,Empresa,10-Oct,,,2013,10
Nº 1042 e Nº 1068,02-Oct,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","SOLNAVE, SA (no Centro de Formação de Braga)",56290,,Empresa,08-Oct,,SUSPENSÃO dia 7-10,2013,10
Nº 1044 e Nº 1068,02-Oct,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","SOLNAVE, SA (no Centro de Formação de Braga e Bragança)",56291,,Empresa,09-Oct,,SUSPENSÃO dia 7-10,2013,10
1 076,09-Oct,SINTAP - Sindicato dos Trabalhadores da Administração Pública ,Câmara Municipal de Oeiras,84113,,FP,12-Oct,31-Dec,Greve ao TE e feriados e descanço semanal,2013,10
1 061,04-Oct,"FEPCES - Federação Portuguesa dos Sindicatos de Comércio, Escritórios e Serviços",Todos os trabalhadores no âmbito estatutário do Sindicato,,,,19-Oct,,MANIFESTAÇÃO,2013,10
,07-Oct,"STIHTRSC - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO CENTRO",GERTAL /ITAU / EUREST / SOLNAVE / UNICER,,,,19-Oct,,,2013,10
1 066,07-Oct,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL","SOLNAVE - RESTAURANTES E ALIMENTAÇÃO, SA nos Serviços Sociais da Administração Pública na DGAE",56290,,Empresa,07-Oct,,,2013,10
1 068,07-Oct,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",CONCIERGE no Hospital das Forças Armadas em Lisboa,81292,,Empresa,22-Oct,,,2013,10
1 069,07-Oct,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal","GERTAL - COMPANHIA GERAL DE RESTAURANTES E ALIMENTAÇÃO, SA",56290,,,05-Oct,,O APG não entrou,2013,10
1 074,08-Oct,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal",Todos os trabalhadores no âmbito estatutário do Sindicato,,,,19-Oct,,MANIFESTAÇÂO,2013,10
Nº 1056 e Nº 1083 ,04-Oct,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Padaria Nacional de Guimarães,,,Empresa,11-Oct,,SUSPENSÃO dia 9-10,2013,10
,10-Oct,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,10-Oct,,Plenário do Barreiro - Greve das 13:55 às 15:55,2013,10
