Nome_Org;Website
SINDICATO DOS TRABALHADORES CONSULARES E DAS MISSÕES DIPLOMÁTICAS NO ESTRANGEIRO;http://www.stcde.pt/
SINDICATO DOS MAGISTRADOS DO MINISTÉRIO PÚBLICO;https://www.smmp.pt/
SINDICATO DOS TÉCNICOS DE INFORMAÇÃO E COMUNICAÇÕES AERONÁUTICAS;https://empresite.jornaldenegocios.pt/SINDICATO-TECNICOS-INFORMACAO-COMUNICACOES-AERONAUTICAS.html
SINDICATO DOS TRABALHADORES CIVIS DAS FORÇAS ARMADAS, ESTABELECIMENTOS FABRIS E EMPRESAS DE DEFESA;http://www.cgtp.pt/contactos/232-lisboa/63-sindicatos-dos-trabalhadores-civis-das-forcas-armadas-estabelecimentos-fabris-e-empresas-de-defesa-steffa-s
SINDICATO NACIONAL DE QUADROS E TÉCNICOS DA INDÚSTRIA E SERVIÇOS;https://www.snqtb.pt/
SINDICATO DOS MUSICOS DOS PROFISSIONAIS DO ESPECTÁCULO E DO AUDIOVISUAL;http://www.cena-ste.org/
SINDICATO DOS TRABALHADORES DE ESPECTACULOS, DO AUDIOVISUAL E DO MUSICOS;http://www.cena-ste.org/
SINDICATO NACIONAL DOS TRABALHADORES DA ADMINISTRAÇÃO LOCAL E REGIONAL, EMPRESAS PÚBLICAS, CONCESSIONÁRIAS E AFINS;https://www.stal.pt/
SINDICATO NACIONAL DO PESSOAL DE VÔO DA AVIAÇÃO CIVIL;https://www.snpvac.pt/
SINDICATO DOS TRABALHADORES DA ADMINISTRAÇÃO PÚBLICA E DE ENTIDADES COM FINS PUBLICOS PÚBLICOS;https://www.sintap.pt/
FEDERAÇÃO DOS SINDICATOS DE TRANSPORTES E COMUNICAÇÕES;http://www.fectrans.pt/
SINDICATO DOS PROFESSORES DA GRANDE LISBOA;https://www.spgl.pt/
ASSOCIAÇAO SINDICAL DOS TRABALHADORES DOS SERVIÇOS PRISIONAIS;https://www.facebook.com/pages/category/Product-Service/Associa%C3%A7%C3%A3o-Sindical-dos-Trabalhadores-dos-Servi%C3%A7os-Prisionais-178308705545562/
SINDICATO DOS TÉCNICOS DE VOO DA AVIAÇÃO CIVIL;https://empresite.jornaldenegocios.pt/SINDICATO-TECNICOS-VOO-AVIACAO-CIVIL.html
CONVENÇÃO SINDICAL INDEPENDENTE;https://www.simedicos.pt/pt/gabinete-juridico/legislacao/convencao-coletiva-de-trabalho-n-3-2020/
SINDICATO INDEPENDENTE DOS AGENTES DAS EMPRESAS MUNICIPAIS, DOS TRABALHADORES DO ESTACIONAMENTO URBANO, DO ATENDIMENTO E DOS SERVIÇOS;https://empresite.jornaldenegocios.pt/SINA-SINDICATO-INDEPENDENTE-AGENTES-EMPRESAS-MUNICIPAIS-TRABALHADORES-ESTACIONAMENTO-URBANO-ATENDIMENTO-SERVICOS.html
SINDICATO DOS QUADROS TÉCNICOS DO ESTADO E DE ENTIDADES COM FINS PÚBLICOS;https://www.ste.pt/
SINDICATO NACIONAL DOS OFICIAIS DE OPERAÇÕES DE VOO;https://empresite.jornaldenegocios.pt/SINOOV-SINDICATO-NACIONAL-OFICIAIS-OPERACOES-VOO.html
